component,total_variants,total_instances,inserts_1y,detaches_1y
[Asset] P Circle Large,N/A,971,2012,2
[Asset] Motion P Circle Large,N/A,230,503,2
[Asset] Gift Large,N/A,210,175,0
[Asset] Won Sign Circle Large,N/A,146,383,9
[Asset] Percent Ticket On Coupon Large,N/A,141,328,2
[Asset] Motion Plus Circle Sweep,N/A,109,163,0
[Asset] Face Smiling Cap Headset Large View 3,N/A,108,353,0
[Asset] Clock Large View 2,N/A,107,266,13
[Asset] Motion Face Smiling Cap Headset Large,N/A,104,247,0
[Asset] Percent Ticket Large,N/A,100,190,1
[Asset] Face Smiling Cap Headset Large,N/A,90,210,0
[Asset] Moving Boxes On Dolly Large,N/A,86,217,0
[Asset] Face Smiling Safety Helmet Large,N/A,84,94,0
[Asset] Motion Spinner,N/A,77,162,2
[Asset] Bolt Truck Large,N/A,76,221,0
[Asset] Motion Face Smiling Safety Helmet Large,N/A,67,79,0
[Asset] Motion Bolt Truck Large,N/A,67,128,17
[Asset] Motino Moving Boxes On Dolly Large,N/A,67,117,3
[Asset] Grocery Shopping Bag Large,N/A,53,129,2
[Asset] Cart Large,N/A,53,115,0
[Asset] Clock Large,N/A,38,66,0
[Asset] Gift Large View 2,N/A,37,124,0
[Asset] Bell Large,N/A,36,118,1
[Asset] Motion Gift Large,N/A,35,63,0
[Asset] Face Smiling Safety Helmet Large View 2,N/A,34,101,0
[Asset] Motion Grocery Shopping Bag Large,N/A,27,18,0
[Asset] Face Smiling Cap Headset Large View 2,N/A,25,36,0
[Asset] Motion Camera Large,N/A,21,14,0
[Asset] Face Smiling Cap Large View 2,N/A,20,46,1
[Asset] Award Star Large,N/A,20,67,1
[Asset] Face Smiling Cap Large,N/A,19,68,1
[Asset] Camera Large,N/A,19,26,0
[Asset] Package Surprise Icons,N/A,19,40,0
[Asset] House With Drill Large,N/A,18,53,0
[Asset] Face Smiling Safety Helmet Large View 3,N/A,15,24,0
[Asset] Osense Large,N/A,15,18,0
[Asset] Bolt Truck Large View 2,N/A,15,61,1
[Asset] Grocery Shopping Bag Large View 2,N/A,14,27,1
[Asset] Glossy Blue Delivery Box Large,N/A,13,18,0
[Asset] Gift Large View 3,N/A,13,24,0
[Asset] Motion Icon Magnifying Glass Viewfinder Genuine Blue,N/A,12,16,0
[Asset] Cart Large View 2,N/A,12,22,0
[Asset] Face Smiling Cap Large View 3,N/A,12,23,0
[Asset] Glossy Blue Delivery Box Shadow Large,N/A,11,22,0
[Asset] Motion Cart Large,N/A,11,40,0
[Asset] Motion Clock Large,N/A,11,16,0
[Asset] Glossy Id Card Large Shadow,N/A,10,30,2
[Asset] Bolt Truck Large View 3,N/A,10,13,0
[Asset] Motion Bell Large,N/A,9,23,0
[Asset] Lucky Check Large,N/A,9,9,0
[Asset] Motion Won Sign Circle Large,N/A,8,13,0
[Asset] Motion Face Smiling Cap Large,N/A,8,11,0
[Asset] Motion Lucky Check Large,N/A,8,11,0
[Asset] Camera Large View 2,N/A,8,15,0
[Asset] Camera Large View 3,N/A,8,12,0
[Asset] Motion Osense Large,N/A,8,11,0
[Asset] Motion Get Point P Circle,N/A,6,15,0
[Asset] Line Ohouse App And Mobile,N/A,6,9,0
[Asset] Thumbnail Badge Ohouse,N/A,5,10,0
[Asset] Shipping Truck Ohouse Symbol,N/A,5,16,0
[Asset] Glossy Pink Open Gift Box Shadow Large,N/A,4,7,0
[Asset] Line Bathroom Tap Repair Request,N/A,4,7,0
[Asset] Package Surprise Icons No Light,N/A,4,4,0
[Asset] Motion Package Surprise Icons,N/A,4,10,0
[Asset] Motion Hand Swipe Left,N/A,3,5,0
[Asset] Motion O2O Moving Reminder Chat,N/A,3,3,0
[Asset] Motion O2O Moving Apply Steps,N/A,3,6,0
[Asset] Motion Chevron Down,N/A,2,4,0
[Asset] Motion Hand Pinch Zoom In,N/A,2,5,0
[Asset] Motion Icon Magnifying Glass Viewfinder,N/A,2,9,0
[Asset] Thumbnail Badge On Sale Ja,N/A,2,8,1
[Asset] Benefit Collab Market,N/A,2,6,1
[Asset] Glossy Water Purifier Gray Large,N/A,1,6,0
[Asset] Glossy Id Card Large,N/A,1,1,0
[Asset] Glossy Water Purifier Gray Shadow Large,N/A,0,1,0
[Asset] Glossy Wi Fi Router Blue Large,N/A,0,1,0
[Asset] Glossy Pink Open Gift Box Large,N/A,0,2,0
[Asset] Glossy Wi Fi Router Blue Shadow Large,N/A,0,8,0
